"id_requisicao","num_movimentacoes","num_anexos","valor_estimado","dias_em_processamento","passou_distribuidora","id_tipo_irregularidade","id_subtipo_irregularidade","tem_descricao","tem_link_fatura","tem_periodos","avancou"
16998,13,0,8000.00,876,0,5,7,1,1,1,0
16999,13,0,1300.00,876,0,5,7,1,1,1,0
17000,12,0,10000.00,876,0,5,12,1,1,1,0
17001,13,0,1200.00,876,0,5,7,1,1,1,0
17002,12,0,20000.00,876,0,2,4,1,1,1,0
17003,12,0,20000.00,876,0,5,12,1,1,1,0
17004,13,0,25000.00,876,0,5,12,1,1,1,0
17005,13,0,3500.00,876,0,2,4,1,1,1,0
17007,30,0,5000.00,876,0,2,4,1,1,1,1
17012,8,0,150.00,876,0,6,17,1,1,1,0
17014,14,0,200.00,876,0,5,22,1,1,1,0
17015,12,0,200.00,876,0,5,22,1,1,1,0
17016,12,0,200.00,876,0,5,22,1,1,1,0
17018,16,0,3000.00,875,0,2,4,1,1,1,0
17019,56,0,500.00,875,0,5,12,1,1,1,1
17020,38,0,800.00,875,0,5,7,1,1,1,1
17022,15,0,4000.00,875,0,5,12,1,1,1,0
17023,15,0,1000.00,875,0,5,12,1,1,1,0
17024,86,0,11000.00,875,0,5,12,1,1,1,1
17025,22,0,100.00,875,0,2,4,1,1,1,1
17028,20,0,100.00,875,0,2,4,1,1,1,0
17034,16,0,9000.00,874,0,2,4,1,1,1,0
17035,39,0,3000.00,874,0,2,4,1,1,1,1
17042,15,0,100.00,874,0,2,4,1,1,1,0
17043,11,0,3000.00,873,0,2,4,1,1,1,0
17044,19,0,1000.00,873,0,2,4,1,1,1,0
17045,19,0,1000.00,873,0,5,12,1,1,1,0
17046,19,0,1000.00,873,0,5,12,1,1,1,0
17047,19,0,1000.00,873,0,5,12,1,1,1,0
17048,54,0,1000.00,873,0,5,12,1,1,1,1
17049,19,0,1000.00,873,0,5,12,1,1,1,0
17050,19,0,350.00,873,0,5,12,1,1,1,0
17051,19,0,350.00,873,0,5,12,1,1,1,0
17052,19,0,500.00,873,0,5,12,1,1,1,0
17053,19,0,800.00,873,0,5,12,1,1,1,0
17054,19,0,800.00,873,0,5,12,1,1,1,0
17055,19,0,800.00,873,0,5,12,1,1,1,0
17056,19,0,250.00,873,0,5,12,1,1,1,0
17058,11,0,100.00,873,0,2,4,1,1,1,0
17059,16,0,5000.00,873,0,2,4,1,1,1,0
17060,11,0,5000.00,873,0,2,4,1,1,1,0
17061,27,0,80000.00,873,0,2,4,1,1,1,1
17062,15,0,1000.00,869,0,5,12,1,1,1,0
17064,14,0,15000.00,869,0,5,12,1,1,1,0
17066,17,0,4500.00,869,0,5,12,1,1,1,0
17068,16,0,4500.00,869,0,5,12,1,1,1,1
17070,5,0,0.00,869,0,7,26,1,1,1,1
17078,45,0,1000.00,869,0,7,25,1,1,1,1
17088,11,0,1500.00,861,0,5,12,1,1,1,0
17091,15,0,15000.00,861,0,7,11,1,1,1,0
17092,15,0,0.00,853,0,12,30,1,1,1,1
17093,13,0,4345.00,852,0,7,11,1,1,1,0
17095,12,0,150.00,851,0,7,25,1,1,1,0
17097,30,0,26000.00,845,0,5,12,1,1,1,1
17099,14,0,1000.00,845,0,5,12,1,1,1,1
17102,21,0,3500.00,845,0,5,12,1,1,1,0
17103,20,0,250.00,845,0,5,12,1,1,1,0
17130,10,0,3000.00,839,0,5,12,1,1,1,1
17148,49,0,3000.00,839,0,5,12,1,1,1,1
17149,6,0,0.00,838,0,6,2,1,1,1,0
17156,34,0,20.00,826,0,6,2,1,1,1,1
17157,25,0,100000.00,826,0,5,12,1,1,1,1
17161,8,0,20000.00,824,0,3,5,1,1,1,0
17164,33,0,4000.00,823,0,7,11,1,1,1,1
17166,34,0,4000.00,820,0,2,4,1,1,1,1
17167,8,0,10000.00,817,0,5,12,1,1,1,0
17168,13,0,8000.00,817,0,2,4,1,1,1,0
17169,13,0,2000.00,817,0,2,4,1,1,1,0
17170,17,0,5000.00,817,0,2,4,1,1,1,0
17174,44,0,26000.00,816,0,2,4,1,1,1,1
17177,27,0,1000.00,816,0,2,4,1,1,1,1
17179,13,0,2000.00,816,0,5,12,1,1,1,0
17180,13,0,2000.00,816,0,5,12,1,1,1,0
17181,15,0,8000.00,816,0,2,4,1,1,1,0
17182,14,0,40000.00,816,0,2,4,1,1,1,0
17183,25,0,4000.00,816,0,2,4,1,1,1,1
17192,12,0,50000.00,812,0,2,4,1,1,1,0
17193,15,0,5000.00,812,0,5,12,1,1,1,0
17195,15,0,10000.00,812,0,2,4,1,1,1,0
17196,15,0,2000.00,812,0,2,4,1,1,1,0
17197,9,0,3000.00,812,0,3,6,1,1,1,0
17198,13,0,130000.00,812,0,2,4,1,1,1,0
17210,16,0,1000.00,810,0,2,4,1,1,1,1
17229,7,0,0.00,804,0,5,22,1,1,1,1
17230,20,0,2000.00,803,0,2,4,1,1,1,1
17231,12,0,15000.00,803,0,2,4,1,1,1,0
17232,11,0,100.00,803,0,7,25,1,1,1,0
17243,14,0,1700.00,802,0,2,4,1,1,1,0
17244,14,0,10000.00,802,0,2,4,1,1,1,0
17245,13,0,30000.00,802,0,7,11,1,1,1,0
17246,10,0,40000.00,802,0,5,12,1,1,1,0
17248,29,0,40000.00,802,0,5,12,1,1,1,1
17249,21,0,50000.00,802,0,2,4,1,1,1,0
17251,13,0,8000.00,802,0,2,4,1,1,1,1
17253,29,0,100000.00,799,0,4,10,1,1,1,0
17254,15,0,13000.00,799,0,2,4,1,1,1,0
17255,16,0,80000.00,799,0,2,4,1,1,1,0
